Partner Name,Partner URL
 DB System Ltda. ,http://www.db-system.com
 DCCS GmbH ,https://www.dccs.at/
 DEDA DIGITAL S.R.L. ,https://www.deda.digital
 Dentsu Digital ,https://www.dentsudigital.co.jp/
 DigiNation ,https://home.diginationmea.com/
 Dunn Solutions Group ,http://www.dunnsolutions.com
 DXC Technology ,//www.facebook.com/pages/Liferay/45119213107
 Dynamik Technologies Sdn Bhd ,https://www.dynamiktechnologies.com.bn
 Edicos Consulting & Software GmbH & Co. KG ,https://www.edicos.de
 Ejada Systems Company Ltd ,http://www.ejada.com/
 Emakina.CH ,https://www.emakina.ch/
 Entelgy Chile ,https://www.entelgy.com/paises-entelgy/entelgy-en-chile
 Entelgy Colombia SAS ,http://www.entelgy.com.br/
 Entelgy do Brasil Consultoria em TI Ltda ,http://www.entelgy.com.br
 Entelgy Peru SAC ,http://www.entelgy.com.br/
 Evolit Consulting GmbH ,https://www.evolit.com
 Evoltia S.L. ,http://www.evoltia.com/
 Extra Red srl ,https://www.extrasys.it/
 FansySoft Tech Corp. ,https://www.fansysoft.com/
 Fasihi GmbH ,https://www.fasihi.net
 Finalist IT Group BV ,http://www.finalist.nl
 Flagare SPA ,http://www.flagare.cl
 Formica ,https://formica.digital
 FPT Software ,https://www.fpt-software.com/
 Global Hitss ,https://www.globalhitss.com
 Globant Argentina ,//www.facebook.com/pages/Liferay/45119213107
 GMV Soluciones Globales Internet S.A.U. ,http://www.gmv.com/
 Growjet AG CONSULTORIA Y SISTEMAS DE MEXICO ,https://growjet.com.mx
 Growth & Communications Inc. ,https://growth-and.com/
 Grupo Onetec ,//www.facebook.com/pages/Liferay/45119213107
 Grupo SADE ,http://www.grupo-sade.com/
 GX2 INFORMÁTICA LTDA ,http://www.gx2.com.br
 IBC Digital ,https://www.ibc.com.au/
 ICA Informática y Comunicaciones Avanzadas S.L. (Grupo ICA) ,http://www.grupoica.com
" Imagine Believe Realize, LLC ",http://www.teamibr.com
 InfoAxon Technologies India Private Limited ,http://www.infoaxon.com
 Intepro Solutions Ltd. ,https://www.intepro-bg.com
 Intercom Enterprises SAE ,https://www.intercom.com.eg/
 INTESYS srl ,https://www.intesys.it/
 Ippon Technologies SAS ,http://www.ippon.fr
 ISA Ltda. ,http://www.isaltda.com.uy/inicio
 IT Forest Corporation ,https://www.it-forest.co.jp/
 ITS4U SARL ,https://www.its4u.lu
 Izertis Perú ,https://www.izertis.com/es/
" Izertis, S.A. ",//www.facebook.com/pages/Liferay/45119213107
 JCBC ,https://www.jcbc.co.jp/
 JumpCO (Pty) Ltd ,https://jumpco.io
 KEYRUS Tunisie ,https://www.keyrusmea.com
 Kooppi Limited ,https://www.kooppi.com/
 KTDS Co Ltd ,https://www.ktds.com/
 Link Development ,https://www.linkdevelopment.com
 LPA CORPORATE SOLUTIONS ,https://www.grupolpa.com/
 MAGI LIFE ,https://magi.life/
 Magna Sistemas Consultoria S.A. ,http://www.magnasistemas.com.br/
 MDP Consulting SAC ,http://www.mdp.com.pe/
 Monator Technologies AB ,http://www.monator.com/
" Movitech Co., Ltd ",http://www.movit-tech.com/
 Neoris ,http://www.neoris.com/worldwide/home/
 NESS Czech s.r.o. ,http://www.ness.cz/
 Net Consultores S.A.C. ,http://www.net-consultores.com/
 Neurones Technologies SA ,https://www.neurones.pro/
 neusta webservices GmbH ,https://www.neusta-webservices.de/
